edad,educ,wage
69,14,722.3615059080641
18,2,2528.1919120612647
62,10,2069.6765190147066
62,0,2841.973530670997
72,13,3286.338457638831
24,9,1932.0519762794015
79,1,1958.3821009991589
29,10,2210.8760741256465
28,2,2705.80424890591
38,4,2267.4148545427665
53,9,2984.9307340894443
47,11,2803.4039470455946
27,2,2528.9613016453113
31,14,3847.444935982648
53,0,2204.6059745848625
32,6,2805.43311483545
43,2,1870.0432429459022
61,6,1517.6027796917813
63,0,2353.4038576681864
57,14,1916.5491272172844
69,6,3019.0679096416093
56,2,3004.122889357326
18,0,1749.9730778863004
36,7,1752.3011263798467
18,4,2852.3089193771298
59,4,2611.4497145258347
39,12,1347.0458787241894
54,1,2409.874669750056
43,7,3351.6872267148983
71,13,1689.9983768529037
25,14,2545.621337743623
44,2,2628.366536700062
77,9,2548.8204130187123
42,7,1933.4029166945982
57,6,2273.770864964702
67,7,2249.496506176237
41,2,2891.565706657354
77,7,3082.016871716243
65,12,2359.6251063146706
26,14,2086.8609982044673
40,9,2438.214440324753
40,11,2464.580923304402
63,11,2122.7720915930086
53,9,2678.9926975295693
66,9,3050.150732407586
70,10,2939.1883835321346
79,12,3417.398728587783
65,14,2606.28729504714
78,3,2487.3727738208954
76,10,3352.9494340369774
26,1,1991.0821798170914
18,6,4240.415809151245
56,5,2271.862165871843
27,14,1971.1748582796624
31,2,3305.0104386703065
38,4,2975.6089550211987
76,6,2062.357251190748
30,2,2309.259162323578
27,12,2793.1439792590636
20,12,2186.9261921382777
21,2,2721.49236814059
66,5,1539.1248240666587
21,11,3353.5790998391653
18,11,2191.754055467683
18,9,2579.6457539103644
45,10,2550.017270210997
74,7,2465.576245210654
48,12,2368.988917148736
76,13,2832.868465706744
29,6,2692.051779225043
65,4,3624.6360152031634
26,3,2057.9831257773303
26,14,2340.341678206555
56,14,1847.797305675896
39,1,3174.96766103808
45,0,2695.380394285152
67,11,2642.3330034225637
50,14,1805.2395346417634
41,10,3620.132501683054
41,12,2082.8411562833935
61,1,2920.733560083793
56,9,2285.6932183114163
55,6,2404.7976867961124
27,12,2189.6079370588477
21,2,3708.195121251889
46,9,3052.7817739512266
59,14,1712.1795769032349
55,14,2330.825972253734
33,2,2616.6388742155295
68,8,3641.699227908557
64,6,3553.466725668726
51,1,1962.9404103590896
24,8,2723.7453480637896
78,2,3292.374254702672
69,10,2170.9015547374956
65,9,2029.543060841958
32,13,2403.0716021949497
32,4,1340.4786018633413
27,9,2965.24655762695
38,7,1896.335859270042
76,14,1781.9270343919616
33,10,2574.4236374350858
53,4,2247.2362062505536
76,4,2953.795962401307
63,2,2209.104357830296
47,7,1023.2154980273128
57,4,2310.145895090532
35,14,1957.5451330346236
51,1,1765.0088151339696
26,11,1985.828559197929
25,2,1551.899422726828
72,10,2380.143782920366
71,0,3543.4415466159844
72,14,2272.3264587689378
69,1,1941.3455666037416
37,2,2931.197658671859
25,11,2039.500306065034
61,14,3127.845843142132
40,4,3524.705492934203
66,3,2504.8841469328445
73,12,2251.0845290453735
71,4,2528.7887886170374
78,1,2140.002783710015
29,11,2976.5569037795963
37,9,3214.4318181675158
67,3,3500.5488272387006
42,1,1911.2532458227283
70,13,2866.962291874574
37,10,2105.9493565331786
45,1,2168.101849305319
43,14,2206.397087521788
